arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_excluded_non_terminating,n_looped_on_correct_answer,low_power,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,mae_delta
main_sweep,gemma4-12b,exact,clustering,,False,excluded,main_sweep/gemma4-12b/excluded,179,179,1.0,1,0.0,False,True,0.022346368715083775,0.0,0.06896551724137931,0.0111731843575419,0.0,0.027932960893854747,0.5087491250874913,False,,0.02446927374301676,-0.046875,-0.046480446927374304,0.8,False,,
main_sweep,gemma4-12b,exact,components,,False,excluded,main_sweep/gemma4-12b/excluded,179,179,1.0,1,0.0,False,True,0.022346368715083775,-0.034482758620689655,0.0,-0.00558659217877095,-0.01675977653631285,0.0,1.0,False,,0.02201117318435754,-0.045312500000000006,-0.04748603351955307,0.8,False,,
main_sweep,gemma4-12b,exact,degree,,False,excluded,main_sweep/gemma4-12b/excluded,178,178,2.0,2,1.0,False,True,0.022346368715083775,0.0,0.13793103448275862,0.02247191011235955,0.0056179775280898875,0.0449438202247191,0.12138786121387861,False,,0.02292134831460674,-0.046875,-0.04842696629213483,0.8,False,,
main_sweep,gemma4-12b,exact,filler,,False,excluded,main_sweep/gemma4-12b/excluded,179,179,1.0,1,0.0,False,True,0.022346368715083775,0.0,0.034482758620689655,0.00558659217877095,0.0,0.01675977653631285,1.0,False,,0.02111731843575419,-0.045312500000000006,-0.04625698324022346,0.8,False,,
main_sweep,gemma4-12b,exact,rwse,,False,excluded,main_sweep/gemma4-12b/excluded,177,177,3.0,3,0.0,False,True,0.022346368715083775,0.0,0.0,0.0,0.0,0.0,1.0,False,,0.017853107344632767,-0.0484375,-0.0488135593220339,0.8,False,,
main_sweep,gemma4-12b,exact,all,,True,excluded,main_sweep/gemma4-12b/excluded/derived,179,179,1.0,1,0.0,False,True,0.022346368715083775,0.0,0.06896551724137931,0.0111731843575419,-0.0111731843575419,0.0335195530726257,0.6307369263073692,False,,0.020446927374301677,-0.046875,-0.0446927374301676,0.8,,,
main_sweep,gemma4-12b,exact,clustering,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.5030496950304969,False,,,,,,,,
main_sweep,gemma4-12b,exact,components,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,-0.06666666666666667,0.0,-0.011111111111111112,-0.027777777777777776,0.0,0.5058494150584941,False,,,,,,,,
main_sweep,gemma4-12b,exact,degree,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,0.0,0.13333333333333333,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.1254874512548745,False,,,,,,,,
main_sweep,gemma4-12b,exact,filler,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.005555555555555556,0.0,0.016666666666666666,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,rwse,,False,best_case,main_sweep/gemma4-12b/best_case,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.005555555555555556,0.0,0.016666666666666666,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,all,,True,best_case,main_sweep/gemma4-12b/best_case/derived,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.011111111111111112,-0.011111111111111112,0.03333333333333333,0.6282371762823717,False,,,,,,,,
main_sweep,gemma4-12b,exact,clustering,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,0.0,0.1,0.016666666666666666,0.0,0.03888888888888889,0.25547445255474455,False,,,,,,,,
main_sweep,gemma4-12b,exact,components,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.0,-0.005555555555555556,-0.016666666666666666,0.0,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,degree,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.16666666666666666,0.022222222222222223,-0.005555555555555556,0.05,0.21647835216478353,False,,,,,,,,
main_sweep,gemma4-12b,exact,filler,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.011111111111111112,0.0,0.027777777777777776,0.49905009499050096,False,,,,,,,,
main_sweep,gemma4-12b,exact,rwse,,False,worst_case,main_sweep/gemma4-12b/worst_case,180,180,0.0,0,,,,,0.0,0.0,0.0,-0.016666666666666666,0.016666666666666666,1.0,False,,,,,,,,
main_sweep,gemma4-12b,exact,all,,True,worst_case,main_sweep/gemma4-12b/worst_case/derived,180,180,0.0,0,,,,,0.0,0.1,0.016666666666666666,-0.005555555555555556,0.044444444444444446,0.36966303369663034,False,,,,,,,,
main_sweep,gemma4-e4b,exact,clustering,,False,excluded,main_sweep/gemma4-e4b/excluded,168,168,12.0,17,0.0,False,True,0.029069767441860517,-0.03333333333333333,0.1111111111111111,0.011904761904761904,-0.017857142857142856,0.047619047619047616,0.7336266373362663,False,,0.029166666666666667,-0.0470610119047619,-0.04738095238095238,0.8,False,,
main_sweep,gemma4-e4b,exact,components,,False,excluded,main_sweep/gemma4-e4b/excluded,169,169,11.0,17,0.0,False,True,0.029069767441860517,-0.13333333333333333,0.06666666666666667,-0.005917159763313609,-0.047337278106508875,0.029585798816568046,1.0,False,,0.02650887573964497,-0.04567307692307693,-0.044497041420118344,0.8,False,,
main_sweep,gemma4-e4b,exact,degree,,False,excluded,main_sweep/gemma4-e4b/excluded,166,166,14.0,16,0.0,False,True,0.029069767441860517,-0.03333333333333333,0.06896551724137931,0.006024096385542169,-0.024096385542168676,0.03614457831325301,1.0,False,,0.025783132530120483,-0.047063253012048195,-0.046987951807228916,0.8,False,,
main_sweep,gemma4-e4b,exact,filler,,False,excluded,main_sweep/gemma4-e4b/excluded,169,169,11.0,17,0.0,False,True,0.029069767441860517,-0.03333333333333333,0.06896551724137931,0.0,-0.03550295857988166,0.03550295857988166,1.0,False,,0.030650887573964496,-0.04659763313609468,-0.04591715976331361,0.8,False,,
main_sweep,gemma4-e4b,exact,rwse,,False,excluded,main_sweep/gemma4-e4b/excluded,165,165,15.0,19,0.0,False,True,0.029069767441860517,0.0,0.058823529411764705,0.012121212121212121,-0.012121212121212121,0.03636363636363636,0.6379362063793621,False,,0.029818181818181817,-0.046875,-0.043515151515151514,0.8,False,,
main_sweep,gemma4-e4b,exact,all,,True,excluded,main_sweep/gemma4-e4b/excluded/derived,171,171,9.0,11,0.0,False,True,0.029069767441860517,0.0,0.09523809523809523,0.029239766081871343,0.005847953216374269,0.05847953216374269,0.061693830616938304,False,,0.028421052631578948,-0.04769736842105263,-0.04678362573099415,0.8,,,
main_sweep,gemma4-e4b,exact,clustering,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.06666666666666667,0.005555555555555556,-0.027777777777777776,0.03888888888888889,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,components,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.13333333333333333,0.06666666666666667,-0.011111111111111112,-0.05,0.027777777777777776,0.7763223677632237,False,,,,,,,,
main_sweep,gemma4-e4b,exact,degree,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.06666666666666667,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.7307269273072693,False,,,,,,,,
main_sweep,gemma4-e4b,exact,filler,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,-0.03333333333333333,0.06666666666666667,-0.005555555555555556,-0.044444444444444446,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,rwse,,False,best_case,main_sweep/gemma4-e4b/best_case,180,180,0.0,0,,,,,0.0,0.03333333333333333,0.005555555555555556,-0.016666666666666666,0.03333333333333333,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,all,,True,best_case,main_sweep/gemma4-e4b/best_case/derived,180,180,0.0,0,,,,,0.0,0.06666666666666667,0.016666666666666666,-0.011111111111111112,0.044444444444444446,0.45615438456154384,False,,,,,,,,
main_sweep,gemma4-e4b,exact,clustering,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.06666666666666667,0.0,-0.03888888888888889,0.03888888888888889,1.0,False,,,,,,,,
main_sweep,gemma4-e4b,exact,components,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.13333333333333333,0.06666666666666667,-0.016666666666666666,-0.06111111111111111,0.022222222222222223,0.6005399460053995,False,,,,,,,,
main_sweep,gemma4-e4b,exact,degree,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.06666666666666667,0.011111111111111112,-0.03333333333333333,0.05555555555555555,0.815918408159184,False,,,,,,,,
main_sweep,gemma4-e4b,exact,filler,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.03333333333333333,-0.011111111111111112,-0.05,0.027777777777777776,0.7865213478652134,False,,,,,,,,
main_sweep,gemma4-e4b,exact,rwse,,False,worst_case,main_sweep/gemma4-e4b/worst_case,180,180,0.0,0,,,,,-0.03333333333333333,0.0,-0.011111111111111112,-0.05,0.027777777777777776,0.7938206179382061,False,,,,,,,,
main_sweep,gemma4-e4b,exact,all,,True,worst_case,main_sweep/gemma4-e4b/worst_case/derived,180,180,0.0,0,,,,,0.0,0.16666666666666666,0.044444444444444446,0.011111111111111112,0.07777777777777778,0.021497850214978503,True,,,,,,,,
main_sweep,qwen3-14b,exact,clustering,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.09999999999999998,-0.03333333333333333,0.03333333333333333,0.005555555555555556,-0.027777777777777776,0.03888888888888889,1.0,False,0.4166666666666667,0.04111111111111111,-0.052083333333333336,-0.04655555555555556,0.8,False,,
main_sweep,qwen3-14b,exact,components,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0,0.0,False,False,0.09999999999999998,-0.06666666666666667,0.03333333333333333,-0.005555555555555556,-0.03333333333333333,0.016666666666666666,1.0,False,0.4,0.042888888888888886,-0.045312500000000006,-0.043222222222222224,0.8,False,,
